|        x         |  y   |       out        |
| 0000000010101011 | 0001 | 0000000101010110 |
| 1111111111111111 | 1000 | 1111111100000000 |
| 1111111111111111 | 0000 | 1111111111111111 |
| 1111111111111111 | 0010 | 1111111111111100 |
| 1111111111111111 | 0011 | 1111111111111000 |
| 1111111111111111 | 0100 | 1111111111110000 |
| 1111111111111111 | 0101 | 1111111111100000 |
| 1111111111111111 | 0110 | 1111111111000000 |
| 1111111111111111 | 0111 | 1111111110000000 |
| 1111111111111111 | 1000 | 1111111100000000 |
| 1111111111111111 | 1001 | 1111111000000000 |
| 1111111111111111 | 1010 | 1111110000000000 |
| 1111111111111111 | 1011 | 1111100000000000 |
| 1111111111111111 | 1100 | 1111000000000000 |
| 1111111111111111 | 1101 | 1110000000000000 |
| 1111111111111111 | 1110 | 1100000000000000 |
| 1111111111111111 | 1111 | 1000000000000000 |
