|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[3]  |  RAM[4]  |
|       1  |       2  |       1  |       3  |      -1  |
|       2  |       1  |       2  |       1  |      -1  |
|      -1  |       2  |       3  |      -2  |      -1  |
|       5  |       2  |       4  |       2  |       1  |
|      -1  |      -2  |       1  |      -3  |       1  |
|      -1  |       2  |       1  |       1  |       1  |
|       1  |      -2  |       1  |      -1  |       1  |
|      -2  |      -1  |       2  |      -1  |       1  |
|      -2  |       1  |       2  |      -3  |       1  |
|       2  |      -1  |       2  |       3  |       1  |
|       2  |       0  |       3  |       0  |       1  |
|       2  |       2  |       4  |       1  |       0  |
|       2  |       3  |       4  |       0  |       2  |
